CurrentAge,Weight,Height,Gender,MonthOfBirth,HairColor,Food,FeedingMethod,Temper,ExerciseFrequency,FirstAlphabetOfName,Label
8,5,35,1,7,1,2,1,0,7,25,1
6,6,31,1,11,0,0,0,1,1,23,0
0,8,32,1,10,4,0,2,0,7,18,1
2,6,35,0,3,3,0,0,1,3,12,1
5,5,34,1,2,1,3,2,0,6,20,0
0,10,43,0,3,2,0,0,1,5,19,1
2,12,38,1,10,3,2,0,1,6,17,1
9,5,39,0,6,0,3,1,0,3,1,1
8,10,34,0,4,1,3,0,1,7,3,0
7,10,30,1,5,1,0,0,1,4,0,1
4,13,32,1,9,1,1,1,1,1,7,0
2,10,42,1,3,0,0,2,1,1,9,1
8,12,32,0,1,0,2,1,1,4,21,0
7,8,44,0,4,0,0,0,1,5,15,1
0,12,36,1,12,3,2,1,1,6,14,1
5,5,45,0,3,1,3,2,1,2,24,0
8,12,41,0,7,3,0,2,0,7,23,1
7,9,42,1,8,0,2,1,1,5,11,1
4,9,35,1,3,1,3,0,1,7,15,1
7,5,44,0,12,1,0,0,0,5,17,0
9,11,32,0,1,3,2,0,1,6,20,0
3,9,41,1,10,0,0,1,0,1,12,1
2,15,34,1,8,3,1,1,1,4,15,0
0,9,37,1,12,2,3,0,1,3,8,1
2,9,41,1,11,2,0,1,0,4,15,1
6,13,33,0,7,0,0,2,0,1,12,0
7,10,32,0,6,2,0,1,1,7,11,0
1,12,32,0,11,3,1,0,0,2,10,0
9,10,35,0,6,2,2,0,0,2,25,1
2,11,38,0,8,3,2,0,0,1,4,1
9,11,31,1,12,3,3,1,0,5,11,1
5,7,43,0,10,3,1,1,0,3,18,1
4,11,45,1,8,3,2,0,1,4,6,1
4,7,42,1,11,0,0,2,1,6,19,0
8,7,42,1,5,0,3,0,1,6,0,0
1,5,36,0,10,3,1,2,1,7,0,1
7,15,32,1,1,1,2,1,1,6,19,0
4,15,45,1,4,4,2,1,1,1,4,0
6,7,41,1,2,2,1,2,0,4,4,1
1,14,37,0,6,0,3,1,1,4,25,1
8,13,39,0,8,3,1,0,0,1,19,1
0,13,30,0,4,4,1,1,0,3,19,1
4,8,37,0,8,1,3,1,0,2,13,1
5,13,36,0,6,1,2,0,0,2,6,1
5,11,31,1,11,2,0,1,0,3,6,1
9,13,45,0,8,3,1,2,1,1,4,0
3,5,36,0,3,4,1,1,1,5,10,1
3,10,37,0,3,1,0,0,1,3,6,1
4,14,32,1,5,2,1,2,0,7,2,0
5,5,43,0,3,3,0,0,0,7,17,0
0,12,44,0,12,3,3,2,1,1,2,1
8,9,36,1,6,1,2,0,0,7,9,1
4,15,43,1,4,0,1,0,1,3,7,0
7,9,41,0,1,3,0,2,1,6,12,1
0,14,39,0,12,3,1,0,0,4,15,1
2,9,35,0,4,1,0,1,0,7,15,1
4,15,31,0,6,2,2,0,1,2,3,0
1,5,34,1,3,2,3,0,1,5,25,0
2,10,42,1,9,3,3,2,0,4,10,1
3,10,43,1,9,1,1,0,0,4,21,1
4,8,31,0,3,4,2,1,0,5,25,1
6,8,34,1,10,3,1,0,0,7,19,1
4,11,41,0,6,2,3,0,1,1,15,1
5,15,31,0,11,2,0,0,1,1,14,0
5,8,43,1,8,1,3,2,1,6,0,1
6,8,30,0,1,4,0,1,1,6,4,1
8,12,37,0,1,3,1,2,1,5,1,1
6,8,38,1,9,2,0,2,0,3,24,1
4,13,37,0,3,3,0,0,1,6,1,1
9,6,43,1,4,0,1,0,1,1,0,0
3,5,36,0,7,1,1,1,0,7,1,1
3,10,44,1,1,4,1,0,0,2,6,1
0,12,32,1,9,3,0,1,0,2,17,1
0,15,32,0,12,1,1,2,0,1,0,1
7,9,40,0,10,2,3,1,0,3,25,1
7,12,39,1,1,4,3,2,0,1,0,1
5,8,37,0,1,1,3,2,0,3,0,1
7,7,30,1,4,2,1,2,1,7,19,0
3,14,45,0,6,4,1,0,0,6,20,0
3,5,39,1,11,2,2,2,0,1,15,1
5,12,39,1,1,2,1,2,0,6,15,1
0,11,37,0,12,2,0,2,0,4,14,1
9,5,40,1,10,0,2,0,1,3,24,1
0,5,33,0,9,0,3,0,1,5,0,1
3,6,36,0,3,1,0,1,1,1,5,1
2,14,40,1,12,0,3,1,0,1,13,1
2,13,31,0,5,0,2,1,1,1,20,0
4,10,41,0,6,4,0,0,1,1,4,1
9,5,33,0,9,1,2,0,1,5,5,0
8,5,37,1,3,4,3,0,1,1,3,1
0,13,40,1,5,4,2,1,1,1,25,1
2,8,43,1,8,3,0,0,1,2,24,1
0,14,34,1,6,3,0,0,1,6,7,1
3,13,44,1,5,1,0,1,0,5,7,0
7,14,39,0,10,4,1,0,0,1,19,1
9,13,43,1,3,2,2,0,0,2,0,0
0,10,37,0,6,0,0,0,1,5,23,1
0,10,42,1,9,0,3,0,1,7,23,1
6,13,38,1,4,3,3,0,0,7,12,1
6,5,40,1,10,0,2,0,0,7,10,1
2,13,44,1,12,1,2,2,0,1,14,0
4,8,44,0,7,2,0,1,0,6,9,1
4,8,39,0,12,1,0,2,0,1,10,1
1,8,42,1,10,1,3,0,0,5,14,1
1,7,37,0,3,3,3,2,0,7,3,1
2,8,39,0,5,4,0,2,0,4,23,1
1,7,44,0,12,0,0,0,0,6,21,1
4,15,34,1,4,3,2,0,1,1,14,0
1,14,40,1,7,4,2,1,0,4,13,1
1,8,30,0,11,2,2,0,0,6,13,1
4,10,43,0,4,2,1,0,0,7,0,0
2,9,32,1,8,1,2,1,0,7,17,1
7,12,43,0,1,1,1,1,0,1,17,0
2,14,37,0,10,2,3,0,1,2,21,1
6,10,45,0,7,2,1,2,1,2,4,0
6,11,39,1,12,2,0,2,1,5,16,1
9,13,31,1,8,3,2,1,1,5,3,0
7,13,30,0,11,0,1,1,1,1,12,0
2,11,36,1,7,1,2,2,0,5,25,1
8,11,45,0,10,0,0,2,0,3,22,0
4,15,31,1,12,4,3,0,0,7,16,0
4,7,43,0,1,1,3,1,1,7,9,1
0,14,45,0,10,3,1,2,0,6,5,1
5,5,32,1,10,2,3,2,0,7,14,0
7,8,38,0,3,2,1,2,0,3,16,1
6,13,41,1,2,0,0,2,1,2,6,1
1,7,39,1,2,0,0,1,1,2,2,1
4,8,42,1,5,4,0,2,1,5,7,1
5,10,42,1,12,2,0,0,1,1,2,1
5,14,45,0,6,4,0,0,0,5,19,0
2,15,41,0,5,0,3,0,1,5,24,1
2,11,33,1,10,4,0,2,0,2,14,1
0,12,41,1,2,2,3,0,1,4,3,1
6,11,35,0,12,3,0,2,0,7,22,1
6,15,35,1,5,3,3,1,0,7,2,1
3,15,34,0,7,3,3,2,0,2,2,0
9,11,40,0,10,3,3,1,0,5,12,1
0,8,37,0,8,4,2,1,0,7,9,1
1,13,37,0,7,0,1,0,1,1,21,1
7,14,39,0,1,4,0,0,0,6,21,1
4,5,37,0,9,2,0,2,1,1,7,1
9,6,41,1,10,2,1,1,1,7,25,1
7,7,40,0,2,3,1,2,0,5,11,1
3,5,30,1,7,2,1,0,0,1,23,0
0,8,41,0,11,3,2,1,0,2,18,1
9,14,30,0,12,0,1,1,1,4,12,0
0,7,30,0,12,4,0,2,1,4,21,1
9,5,31,1,2,2,3,1,0,6,23,0
6,12,40,0,8,1,0,0,1,6,23,1
4,13,37,1,10,3,3,2,1,2,24,1
2,10,39,1,1,2,1,2,1,6,8,1
4,11,42,1,4,1,0,0,1,4,3,1
1,7,33,0,6,2,2,1,0,1,11,1
0,6,45,0,10,2,3,2,0,4,1,1
9,10,33,1,11,0,1,0,1,6,16,1
6,8,30,1,7,2,2,0,1,2,13,1
4,14,31,0,8,1,2,2,0,5,6,0
9,6,41,0,12,4,2,2,1,7,25,1
4,5,39,0,6,3,3,1,0,6,12,1
1,10,41,1,2,4,2,2,0,1,21,1
0,15,36,1,2,3,1,0,1,5,23,1
5,6,39,1,8,4,1,1,0,7,17,1
0,8,37,1,4,2,3,2,1,3,15,1
4,11,34,0,9,2,1,2,1,5,24,0
3,8,45,0,10,4,0,2,1,5,14,1
4,6,43,0,10,1,0,0,1,6,14,1
7,5,43,1,11,2,0,2,1,1,19,0
7,8,31,0,11,0,0,0,0,4,7,1
5,13,41,0,3,0,1,1,0,2,5,1
5,9,34,1,5,2,2,0,0,5,11,1
5,14,42,1,7,4,1,1,0,4,13,0
9,15,31,1,1,4,2,2,0,7,25,0
4,9,44,0,4,2,0,1,0,4,1,1
8,11,37,0,7,2,3,0,1,6,17,1
0,11,33,0,7,4,3,0,1,5,5,1
2,15,34,1,12,0,2,1,1,1,22,0
9,12,44,1,9,3,0,2,0,5,4,0
6,5,45,1,1,4,0,0,0,1,1,0
4,8,35,0,6,1,0,1,1,2,13,1
8,10,44,1,7,1,3,0,0,5,16,1
3,6,41,0,1,1,1,1,1,3,24,1
3,5,33,1,12,2,0,1,0,4,17,0
2,5,40,1,10,3,1,0,0,1,21,1
4,8,42,1,11,1,2,0,0,4,8,1
3,12,38,0,10,4,0,1,1,1,6,1
3,10,42,1,3,0,2,2,0,2,2,1
5,5,35,1,9,0,2,0,0,5,12,1
7,11,37,1,9,1,2,2,0,3,1,1
2,10,41,1,4,2,1,1,1,1,9,1
3,12,35,0,11,4,1,2,1,6,6,1
3,8,42,1,1,2,1,1,1,3,21,1
4,6,35,1,5,3,0,0,1,3,21,1
2,14,33,0,9,4,1,0,0,7,18,0
1,9,33,0,11,1,3,2,0,2,1,1
5,5,37,0,12,0,3,2,1,2,9,1
4,13,35,0,1,1,0,0,0,4,25,1
4,13,31,1,12,0,0,1,0,3,2,0
4,13,32,1,4,1,1,1,1,7,5,0
4,13,45,0,9,2,2,1,0,1,3,0
0,6,31,0,6,0,0,0,1,1,14,0
0,7,36,0,3,4,3,2,0,4,1,1
8,14,38,0,6,0,1,2,1,5,20,1
0,5,37,0,11,4,0,2,1,7,7,1
0,11,33,0,11,1,2,0,1,1,18,0
2,10,42,1,9,1,0,2,0,6,24,1
7,10,42,0,12,4,0,0,1,1,5,0
5,11,31,1,1,3,0,1,1,1,22,1
3,11,34,1,12,3,2,0,0,7,13,1
6,7,43,1,4,0,1,1,0,2,17,0
6,11,45,0,8,2,2,2,1,5,23,0
8,6,43,1,8,4,2,1,0,2,14,0
7,13,33,0,6,0,3,0,0,6,8,0
9,13,32,1,1,2,1,1,1,7,4,0
8,13,35,0,8,3,3,1,1,7,15,1
5,8,44,1,8,1,0,1,0,1,21,1
3,14,33,1,4,1,1,0,1,7,5,0
5,13,41,1,4,0,0,0,1,7,2,1
0,14,39,0,8,0,1,1,0,3,15,1
8,12,30,0,9,2,1,2,1,4,11,0
2,13,35,1,2,0,1,2,1,7,18,1
7,7,30,1,4,4,0,0,1,7,15,0
7,10,33,0,9,0,1,2,1,6,2,0
3,12,45,0,5,4,3,0,0,4,10,0
9,13,37,0,8,2,0,1,1,1,10,1
5,6,45,1,9,2,1,1,1,4,4,0
5,12,31,0,6,3,3,0,0,5,15,0
2,8,38,0,9,3,0,2,0,3,18,1
4,14,42,0,11,2,1,1,0,2,15,0
7,9,44,1,7,4,2,1,1,7,22,1
8,5,39,1,8,1,1,1,0,4,20,1
2,13,30,1,5,2,0,1,0,7,20,0
9,9,42,0,9,3,1,0,0,2,5,1
3,15,38,1,3,1,2,0,0,7,15,1
2,8,31,1,4,2,0,2,1,1,18,1
5,5,39,0,6,0,3,1,1,5,18,1
0,10,34,0,12,2,2,0,1,1,21,0
8,6,30,1,11,2,2,1,0,5,14,0
2,7,38,1,10,2,3,2,0,3,13,1
